transaction_id,posting_date,gl_account_id,gl_account_name,cost_center_id,vendor,description,amount_usd,expense_type,fiscal_quarter,fiscal_year
GL-001036,2026-05-28,6600,Equipment & Hardware,CC-160,Oracle Corp,Equipment — IT — May 2026,8461.14,Recurring,Q2 2026,FY2026
GL-003996,2025-11-25,6200,Travel & Entertainment,CC-108,Oracle Corp,Travel — Sales — Nov 2025,1176.41,Recurring,Q4 2025,FY2025
GL-002754,2026-05-25,6200,Travel & Entertainment,CC-127,Deloitte Advisory,Travel — Finance — May 2026,1281.26,Recurring,Q2 2026,FY2026
GL-001619,2025-10-26,6700,Training & Development,CC-149,KPMG Consulting,Training — Operations — Oct 2025,1126.36,Recurring,Q4 2025,FY2025
GL-002151,2025-12-26,6500,Professional Services,CC-106,IDC Advisory,Professional Services — Engineering — Dec 2025,12382.95,Recurring,Q4 2025,FY2025
GL-003354,2025-01-20,6200,Travel & Entertainment,CC-153,Zscaler Inc,Travel — Operations — Jan 2025,1022.37,Recurring,Q1 2025,FY2025
GL-005275,2026-03-05,6700,Training & Development,CC-141,Microsoft Azure,Training — Legal — Mar 2026,2076.66,Recurring,Q1 2026,FY2026
GL-004185,2025-02-12,6100,Salaries & Wages,CC-165,Oracle Corp,Compensation — Executive — Feb 2025,23094.23,Recurring,Q1 2025,FY2025
GL-005791,2026-04-09,6400,Facilities & Occupancy,CC-157,AWS Cloud Services,Facilities — IT — Apr 2026,2978.43,Recurring,Q2 2026,FY2026
GL-003503,2025-08-01,6600,Equipment & Hardware,CC-120,WeWork Office,Equipment — Marketing — Aug 2025,17684.13,Recurring,Q3 2025,FY2025
GL-001202,2026-03-09,6100,Salaries & Wages,CC-126,KPMG Consulting,Compensation — Finance — Mar 2026,23116.61,Recurring,Q1 2026,FY2026
GL-003481,2025-01-01,6600,Equipment & Hardware,CC-111,HP Enterprise,Equipment — Sales — Jan 2025,16061.91,Recurring,Q1 2025,FY2025
GL-002806,2025-02-17,6110,Employee Benefits,CC-165,FedEx Shipping,Benefits — Executive — Feb 2025,6021.27,Recurring,Q1 2025,FY2025
GL-002608,2025-03-17,6600,Equipment & Hardware,CC-136,Willis Towers Watson,Equipment — Legal — Mar 2025,4124.73,Recurring,Q1 2025,FY2025
GL-001222,2026-05-04,6100,Salaries & Wages,CC-165,Oracle Corp,Compensation — Executive — May 2026,18409.18,Recurring,Q2 2026,FY2026
GL-003324,2026-04-28,6200,Travel & Entertainment,CC-108,Marriott Hotels,Travel — Sales — Apr 2026,2481.19,Recurring,Q2 2026,FY2026
GL-000330,2026-01-05,6200,Travel & Entertainment,CC-100,Gartner Inc,Travel — Engineering — Jan 2026,4686.78,Recurring,Q1 2026,FY2026
