spend_id,campaign_id,spend_date,amount_usd,impressions,cpm,platform
SP-00562,CAMP-005,2025-08-18,1373.2,124384,11.04,YouTube
SP-00263,CAMP-007,2025-08-08,887.31,51647,17.18,Google Ads
SP-00448,CAMP-001,2025-09-08,1333.83,94064,14.18,LinkedIn
SP-00013,CAMP-007,2025-07-31,501.57,48181,10.41,Google Ads
SP-00544,CAMP-003,2025-09-29,1056.62,86964,12.15,Meta
SP-00561,CAMP-005,2025-09-02,749.85,54219,13.83,YouTube
SP-00668,CAMP-008,2025-09-21,1001.54,70930,14.12,LinkedIn
SP-01194,CAMP-040,2025-08-12,679.92,64203,10.59,TikTok
SP-00800,CAMP-015,2025-08-05,894.41,62284,14.36,TikTok
SP-00688,CAMP-009,2025-09-09,1241.9,196192,6.33,Google Ads
SP-01197,CAMP-040,2025-07-31,1420.83,125515,11.32,TikTok
SP-00548,CAMP-003,2025-08-02,1087.34,89937,12.09,Google Ads
SP-00414,CAMP-007,2025-09-11,1091.3,72996,14.95,Google Ads
SP-00043,CAMP-007,2025-07-23,1177.19,108898,10.81,Google Ads
SP-01037,CAMP-029,2025-08-21,1121.48,98031,11.44,Google Ads
SP-00409,CAMP-007,2025-08-27,1479.13,131244,11.27,Google Ads
SP-00438,CAMP-007,2025-08-24,1086.31,113988,9.53,Google Ads
SP-00639,CAMP-006,2025-09-11,701.12,69832,10.04,Google Ads
SP-00655,CAMP-008,2025-08-04,616.86,62498,9.87,TikTok
SP-00415,CAMP-007,2025-09-23,1135.69,71697,15.84,Google Ads
SP-00764,CAMP-013,2025-09-12,977.62,75843,12.89,Google Ads
SP-00813,CAMP-017,2025-09-21,1094.09,82386,13.28,Meta
SP-00606,CAMP-006,2025-09-21,1299.01,122202,10.63,Google Ads
SP-01175,CAMP-037,2025-08-13,872.45,77139,11.31,TikTok
SP-00476,CAMP-001,2025-08-06,1331.43,97043,13.72,LinkedIn
SP-00384,CAMP-007,2025-09-03,791.84,65333,12.12,Google Ads
SP-00552,CAMP-003,2025-07-05,934.14,98020,9.53,Google Ads
SP-01164,CAMP-036,2025-08-19,1027.29,105255,9.76,Meta
SP-00899,CAMP-021,2025-09-27,832.65,88204,9.44,YouTube
SP-00896,CAMP-021,2025-09-29,970.28,92056,10.54,TikTok
SP-00085,CAMP-007,2025-09-26,284.39,16768,16.96,Google Ads
SP-00294,CAMP-007,2025-09-19,677.46,50406,13.44,Google Ads
SP-01102,CAMP-033,2025-09-23,1006.36,126905,7.93,Google Ads
SP-00650,CAMP-008,2025-09-21,1103.48,85940,12.84,LinkedIn
SP-01155,CAMP-036,2025-08-20,816.52,53402,15.29,TikTok
SP-00014,CAMP-007,2025-07-08,825.86,63970,12.91,Google Ads
SP-00432,CAMP-007,2025-09-13,1243.31,189240,6.57,Google Ads
SP-01049,CAMP-030,2025-09-20,528.85,82375,6.42,Google Ads
SP-00297,CAMP-007,2025-07-03,1009.71,82425,12.25,Google Ads
SP-00358,CAMP-007,2025-08-13,1544.54,129466,11.93,Google Ads
SP-00299,CAMP-007,2025-09-28,530.6,81882,6.48,Google Ads
SP-00984,CAMP-025,2025-07-11,988.81,84297,11.73,Google Ads
SP-00482,CAMP-001,2025-07-12,1021.02,82740,12.34,TikTok
SP-00570,CAMP-005,2025-08-24,1265.33,122847,10.3,TikTok
SP-00857,CAMP-019,2025-09-19,1069.6,178564,5.99,Meta
SP-00905,CAMP-021,2025-09-24,1453.32,99884,14.55,YouTube
SP-01025,CAMP-029,2025-08-09,750.16,52642,14.25,Google Ads
SP-00571,CAMP-005,2025-09-12,1231.4,89817,13.71,TikTok
SP-00621,CAMP-006,2025-09-21,859.63,70346,12.22,Google Ads
SP-00649,CAMP-008,2025-08-11,513.0,33661,15.24,Meta
SP-01101,CAMP-033,2025-09-23,910.06,72055,12.63,Google Ads
SP-00856,CAMP-019,2025-09-03,1167.95,92547,12.62,TikTok
SP-00784,CAMP-014,2025-09-26,516.53,46325,11.15,Meta
SP-00563,CAMP-005,2025-09-13,1639.54,115055,14.25,YouTube
SP-00179,CAMP-007,2025-08-12,1132.74,140888,8.04,Google Ads
SP-00171,CAMP-007,2025-08-16,623.15,39843,15.64,Google Ads
SP-00452,CAMP-001,2025-08-09,714.09,51225,13.94,LinkedIn
SP-00969,CAMP-024,2025-08-15,932.84,77931,11.97,Google Ads
SP-01072,CAMP-031,2025-07-23,1043.62,134141,7.78,YouTube
