response_id,order_id,customer_id,response_date,satisfaction_score,complaint_category,free_text_comment
CSAT-00001,ORD-00941,CUST-00379,2025-06-03,10,None,Exactly what I needed. Would buy again.
CSAT-00002,ORD-00557,CUST-00308,2025-07-08,5,None,Wrong color sent. Had to return.
CSAT-00003,ORD-01466,CUST-00919,2025-05-21,7,None,Smooth ordering process and fast delivery.
CSAT-00004,ORD-00191,CUST-01582,2025-07-22,2,Customer Service,My furniture arrived with visible damage from shipping.
CSAT-00005,ORD-02513,CUST-00499,2025-05-08,7,None,Exactly what I needed. Would buy again.
CSAT-00006,ORD-01437,CUST-00501,2025-05-01,7,None,Very happy with my purchase.
CSAT-00007,ORD-01474,CUST-01320,2025-06-06,7,None,Excellent value for the money.
CSAT-00008,ORD-01613,CUST-01335,2025-05-06,5,Delivery Speed,
CSAT-00009,ORD-02888,CUST-00967,2025-04-19,7,None,
CSAT-00010,ORD-00410,CUST-01137,2025-07-06,5,Delivery Speed,
CSAT-00011,ORD-02966,CUST-00878,2025-06-19,4,Delivery Speed,Took a few extra days but the product is okay.
CSAT-00012,ORD-02870,CUST-00993,2025-06-06,6,Packaging,The item broke within a week of use.
CSAT-00013,ORD-01884,CUST-00715,2025-06-22,8,None,Happy customer. Will order again.
CSAT-00014,ORD-00593,CUST-00099,2025-04-30,5,None,Not worth the price. Feels cheaply made.
CSAT-00015,ORD-01353,CUST-00977,2025-06-16,7,Packaging,Smooth ordering process and fast delivery.
CSAT-00016,ORD-00937,CUST-00905,2025-06-15,6,Packaging,Not worth the price. Feels cheaply made.
CSAT-00017,ORD-00907,CUST-00434,2025-04-30,10,None,Happy customer. Will order again.
CSAT-00018,ORD-01631,CUST-01552,2025-06-12,5,Customer Service,
CSAT-00019,ORD-00852,CUST-01214,2025-06-15,5,Delivery Speed,Product quality was not what I expected.
CSAT-00020,ORD-02414,CUST-01620,2025-05-15,7,None,
CSAT-00021,ORD-01700,CUST-00192,2025-05-18,2,Delivery Speed,Product was fine but the shipping delay ruined my plans.
CSAT-00022,ORD-01919,CUST-00803,2025-07-04,5,Delivery Speed,Took a few extra days but the product is okay.
CSAT-00023,ORD-01989,CUST-00059,2025-06-27,4,Delivery Speed,The delivery driver left my heavy package in the rain.
CSAT-00024,ORD-00348,CUST-00794,2025-06-18,6,None,The item broke within a week of use.
CSAT-00025,ORD-02993,CUST-01240,2025-07-01,7,None,Exactly what I needed. Would buy again.
CSAT-00026,ORD-00855,CUST-00490,2025-04-11,5,Product Quality,Product quality was not what I expected.
CSAT-00027,ORD-01964,CUST-00015,2025-05-31,7,None,Exactly what I needed. Would buy again.
CSAT-00028,ORD-01367,CUST-01795,2025-04-18,6,None,
