budget_line_id,fiscal_month,fiscal_quarter,fiscal_year,department,cost_center_id,budget_category,budget_amount_usd,actual_amount_usd
BL-00001,2025-01,Q1 2025,FY2025,Engineering,CC-102,Compensation,420000,418184.46
BL-00002,2025-01,Q1 2025,FY2025,Engineering,CC-101,Benefits,84000,83564.28
BL-00003,2025-01,Q1 2025,FY2025,Engineering,CC-105,Software,65000,65533.52
BL-00004,2025-01,Q1 2025,FY2025,Engineering,CC-105,Equipment,30000,31449.06
BL-00005,2025-01,Q1 2025,FY2025,Engineering,CC-103,Travel,15000,15149.54
BL-00006,2025-01,Q1 2025,FY2025,Engineering,CC-100,Training,12000,11903.76
BL-00007,2025-01,Q1 2025,FY2025,Engineering,CC-104,Facilities,25000,25517.63
BL-00008,2025-01,Q1 2025,FY2025,Sales,CC-111,Compensation,380000,381490.51
BL-00009,2025-01,Q1 2025,FY2025,Sales,CC-112,Benefits,76000,77497.13
BL-00010,2025-01,Q1 2025,FY2025,Sales,CC-112,Travel,45000,45149.18
BL-00011,2025-01,Q1 2025,FY2025,Sales,CC-111,Software,25000,24491.67
BL-00012,2025-01,Q1 2025,FY2025,Sales,CC-109,Training,18000,17893.81
BL-00013,2025-01,Q1 2025,FY2025,Sales,CC-113,Professional Services,15000,15018.75
BL-00014,2025-01,Q1 2025,FY2025,Sales,CC-108,Equipment,10000,9968.1
BL-00015,2025-01,Q1 2025,FY2025,Marketing,CC-115,Compensation,210000,208160.7
BL-00016,2025-01,Q1 2025,FY2025,Marketing,CC-115,Benefits,42000,40911.32
BL-00017,2025-01,Q1 2025,FY2025,Marketing,CC-114,Software,35000,35917.07
BL-00018,2025-01,Q1 2025,FY2025,Marketing,CC-117,Travel,25000,24819.53
BL-00019,2025-01,Q1 2025,FY2025,Marketing,CC-118,Professional Services,40000,41910.59
BL-00020,2025-01,Q1 2025,FY2025,Marketing,CC-116,Training,10000,10332.19
BL-00021,2025-01,Q1 2025,FY2025,Marketing,CC-118,Facilities,15000,15255.71
BL-00022,2025-01,Q1 2025,FY2025,Finance,CC-121,Compensation,160000,152730.3
BL-00023,2025-01,Q1 2025,FY2025,Finance,CC-125,Benefits,32000,32923.03
BL-00024,2025-01,Q1 2025,FY2025,Finance,CC-123,Software,20000,19901.61
BL-00025,2025-01,Q1 2025,FY2025,Finance,CC-127,Professional Services,25000,25498.2
BL-00026,2025-01,Q1 2025,FY2025,Finance,CC-123,Training,8000,7707.42
BL-00027,2025-01,Q1 2025,FY2025,Finance,CC-121,Facilities,12000,11502.92
BL-00028,2025-01,Q1 2025,FY2025,HR,CC-133,Compensation,120000,117373.99
BL-00029,2025-01,Q1 2025,FY2025,HR,CC-128,Benefits,24000,24082.38
BL-00030,2025-01,Q1 2025,FY2025,HR,CC-134,Software,15000,15368.39
BL-00031,2025-01,Q1 2025,FY2025,HR,CC-130,Professional Services,18000,18026.89
BL-00032,2025-01,Q1 2025,FY2025,HR,CC-131,Training,10000,10137.63
BL-00033,2025-01,Q1 2025,FY2025,HR,CC-130,Facilities,10000,9811.9
BL-00034,2025-01,Q1 2025,FY2025,Legal,CC-137,Compensation,140000,136987.04
BL-00035,2025-01,Q1 2025,FY2025,Legal,CC-140,Benefits,28000,28166.63
BL-00036,2025-01,Q1 2025,FY2025,Legal,CC-140,Professional Services,35000,35800.9
BL-00037,2025-01,Q1 2025,FY2025,Legal,CC-139,Software,10000,10383.77
BL-00038,2025-01,Q1 2025,FY2025,Legal,CC-140,Travel,5000,5092.37
BL-00039,2025-01,Q1 2025,FY2025,Legal,CC-137,Facilities,8000,8008.71
BL-00040,2025-01,Q1 2025,FY2025,Product,CC-147,Compensation,250000,258349.77
BL-00041,2025-01,Q1 2025,FY2025,Product,CC-144,Benefits,50000,49599.82
BL-00042,2025-01,Q1 2025,FY2025,Product,CC-148,Software,40000,39217.92
BL-00043,2025-01,Q1 2025,FY2025,Product,CC-148,Travel,12000,12014.02
BL-00044,2025-01,Q1 2025,FY2025,Product,CC-142,Equipment,15000,14848.32
BL-00045,2025-01,Q1 2025,FY2025,Product,CC-142,Training,10000,10102.99
BL-00046,2025-01,Q1 2025,FY2025,Product,CC-143,Facilities,15000,14571.28
BL-00047,2025-01,Q1 2025,FY2025,Operations,CC-154,Compensation,180000,185973.22
BL-00048,2025-01,Q1 2025,FY2025,Operations,CC-151,Benefits,36000,35274.47
BL-00049,2025-01,Q1 2025,FY2025,Operations,CC-154,Equipment,25000,25205.24
BL-00050,2025-01,Q1 2025,FY2025,Operations,CC-152,Software,18000,18617.67
BL-00051,2025-01,Q1 2025,FY2025,Operations,CC-154,Travel,10000,10102.57
BL-00052,2025-01,Q1 2025,FY2025,Operations,CC-153,Professional Services,12000,12154.37
BL-00053,2025-01,Q1 2025,FY2025,Operations,CC-152,Facilities,18000,17131.41
BL-00054,2025-01,Q1 2025,FY2025,IT,CC-160,Compensation,200000,197588.05
BL-00055,2025-01,Q1 2025,FY2025,IT,CC-157,Benefits,40000,39318.72
BL-00056,2025-01,Q1 2025,FY2025,IT,CC-160,Software,55000,55686.01
BL-00057,2025-01,Q1 2025,FY2025,IT,CC-162,Equipment,35000,33238.4
BL-00058,2025-01,Q1 2025,FY2025,IT,CC-156,Facilities,30000,30061.55
